Caso,Modulación,M,Etiquetado,EbN0_dB,N0,AWGN,Atenuación,Atenuación aplicada,Codificación canal,Bits fuente,Bits modulador,Símbolos TX,Es teórica,Eb teórica,Es estimada,Eb estimada,Errores símbolo,Pe símbolo,Errores bit,Pe bit,Decodificación
qam_M4_gray_sin_codigo_EbN0_1_dB,M-QAM,4,gray,1,0.7943282347242815,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,322462,0.10939288,331913,0.05629953,Con errores
qam_M4_gray_sin_codigo_EbN0_2_dB,M-QAM,4,gray,2,0.6309573444801932,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,217265,0.07370557,221451,0.03756282,Con errores
qam_M4_gray_sin_codigo_EbN0_3_dB,M-QAM,4,gray,3,0.5011872336272724,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,133473,0.04527974,134994,0.02289787,Con errores
qam_M4_gray_sin_codigo_EbN0_4_dB,M-QAM,4,gray,4,0.39810717055349726,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,73277,0.02485869,73694,0.01250008,Con errores
qam_M4_gray_sin_codigo_EbN0_5_dB,M-QAM,4,gray,5,0.31622776601683794,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,34865,0.0118277,34960,0.00592996,Con errores
qam_M4_gray_sin_codigo_EbN0_6_dB,M-QAM,4,gray,6,0.251188643150958,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,13884,0.00471005,13900,0.00235774,Con errores
qam_M4_gray_sin_codigo_EbN0_7_dB,M-QAM,4,gray,7,0.199526231496888,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,4445,0.00150793,4449,0.00075465,Con errores
qam_M4_gray_sin_codigo_EbN0_8_dB,M-QAM,4,gray,8,0.15848931924611132,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,1082,0.00036706,1082,0.00018353,Con errores
qam_M4_gray_sin_codigo_EbN0_9_dB,M-QAM,4,gray,9,0.1258925411794167,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,199,6.751e-05,199,3.375e-05,Con errores
qam_M4_gray_sin_codigo_EbN0_10_dB,M-QAM,4,gray,10,0.1,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,22,7.46e-06,22,3.73e-06,Con errores
qam_M16_gray_sin_codigo_EbN0_0_dB,M-QAM,16,gray,0,1.0,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,720462,0.48882297,851375,0.14441138,Con errores
qam_M16_gray_sin_codigo_EbN0_1_dB,M-QAM,16,gray,1,0.7943282347242815,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,628027,0.42610717,718855,0.12193316,Con errores
qam_M16_gray_sin_codigo_EbN0_2_dB,M-QAM,16,gray,2,0.6309573444801932,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,529506,0.35926211,589850,0.10005116,Con errores
qam_M16_gray_sin_codigo_EbN0_3_dB,M-QAM,16,gray,3,0.5011872336272724,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,430325,0.29196924,467833,0.07935447,Con errores
qam_M16_gray_sin_codigo_EbN0_4_dB,M-QAM,16,gray,4,0.39810717055349726,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,332731,0.22575314,353962,0.06003951,Con errores
qam_M16_gray_sin_codigo_EbN0_5_dB,M-QAM,16,gray,5,0.31622776601683794,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,242346,0.16442823,253192,0.04294677,Con errores
qam_M16_gray_sin_codigo_EbN0_6_dB,M-QAM,16,gray,6,0.251188643150958,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,163590,0.11099343,168442,0.02857136,Con errores
qam_M16_gray_sin_codigo_EbN0_7_dB,M-QAM,16,gray,7,0.199526231496888,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,100679,0.06830923,102470,0.0173811,Con errores
qam_M16_gray_sin_codigo_EbN0_8_dB,M-QAM,16,gray,8,0.15848931924611132,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,55161,0.03742593,55655,0.00944028,Con errores
qam_M16_gray_sin_codigo_EbN0_9_dB,M-QAM,16,gray,9,0.1258925411794167,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,26191,0.01777021,26283,0.00445816,Con errores
qam_M16_gray_sin_codigo_EbN0_10_dB,M-QAM,16,gray,10,0.1,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,10561,0.00716548,10574,0.00179358,Con errores
